0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	-0.3765
-0.3765	-0.0784
-0.4549	0.0627
-0.3922	0.0785
-0.3137	0.047
-0.2667	0.0471
-0.2196	0.0471
-0.1725	0.0156
-0.1569	0
-0.1569	0.0157
-0.1412	0.0157
-0.1255	0
-0.1255	0
-0.1255	0.0314
-0.0941	0
-0.0941	0
-0.0941	0.0157
-0.0784	0
-0.0784	0
-0.0784	0.0157
-0.0627	0
-0.0627	0
-0.0627	0.0313
-0.0314	0
-0.0314	0
-0.0314	0
-0.0314	0.0157
-0.0157	0
-0.0157	0.0157
0	-0.0157
-0.0157	0.0157
0	0
0	0
0	0.0157
0.0157	0.0314
0.0471	0.0313
0.0784	0.0471
0.1255	0.0314
0.1569	0.047
0.2039	0.0785
0.2824	0.0784
0.3608	-0.2196
0.1412	-0.0785
0.0627	-0.047
0.0157	-0.0157
0	0
0	-0.0157
-0.0157	0
-0.0157	0
-0.0157	-0.0157
-0.0314	0
-0.0314	0
-0.0314	0
-0.0314	0
-0.0314	0
-0.0314	0
-0.0314	0
-0.0314	0
-0.0314	0
-0.0314	0
-0.0314	0
-0.0314	0
-0.0314	0
-0.0314	0
-0.0314	0
-0.0314	0
-0.0314	0
-0.0314	0
-0.0314	0
-0.0314	-0.0313
-0.0627	0
-0.0627	0.0313
-0.0314	-0.0313
-0.0627	0.0313
-0.0314	0
-0.0314	0
-0.0314	-0.0313
-0.0627	0.0313
-0.0314	0
-0.0314	0
-0.0314	-0.0313
-0.0627	0
-0.0627	0.0313
-0.0314	-0.0313
-0.0627	0
-0.0627	0
-0.0627	0
-0.0627	0
-0.0627	0
-0.0627	0
-0.0627	0
-0.0627	0
-0.0627	0
-0.0627	0
-0.0627	0
-0.0627	0
-0.0627	0
-0.0627	0
-0.0627	-0.0157
-0.0784	0
-0.0784	0
-0.0784	0
-0.0784	0
-0.0784	0
-0.0784	0
-0.0784	0
-0.0784	0
-0.0784	0
-0.0784	0
-0.0784	0
-0.0784	0
-0.0784	0
-0.0784	0
-0.0784	0
-0.0784	0
-0.0784	0
-0.0784	0
-0.0784	0
-0.0784	0
-0.0784	0
-0.0784	0
-0.0784	0
-0.0784	0
-0.0784	0
-0.0784	0
-0.0784	-0.0785
-0.1569	0
-0.1569	0
-0.1569	0
-0.1569	0
-0.1569	0
-0.1569	-0.0156
-0.1725	0
-0.1725	0
-0.1725	0
-0.1725	0
-0.1725	0
-0.1725	0
-0.1725	0.0156
-0.1569	0
-0.1569	0
-0.1569	0
-0.1569	0
-0.1569	0
-0.1569	0
-0.1569	0.0157
-0.1412	-0.0157
-0.1569	0.0157
-0.1412	0
